,DTW_D,ROCKET,HC2,Hydra,MR+Hydra,DLinear,LightTS,MTS-Mixer,TimesNet,ModernTCN,TSLANet,TimeMixer++,FEDformer,ETSformer,Crossformer,PatchTST,GPT4TS,iTransformer,InterpGN,TSCMamba,MambaSL
ER,91.48148148,98.88888889,98.88888889,98.88888889,99.25925926,91.85185185,94.44444444,77.77777778,95.55555556,97.40740741,85.92592593,96.2962963,95.92592593,96.2962963,97.40740741,96.66666667,96.2962963,94.81481481,87.77777778,97.03703704,93.7037037
FM,53,57,61,55,60,62,64,63,66,67,68,67,72,66,64,63,66,64,67,66,71
HMD,18.91891892,51.35135135,48.64864865,51.35135135,36.48648649,66.21621622,66.21621622,70.27027027,72.97297297,66.21621622,48.64864865,72.97297297,71.62162162,63.51351351,66.21621622,63.51351351,70.27027027,58.10810811,45.94594595,60.81081081,70.27027027
IW,48.692,38.524,66.796,67.052,65.744,18.996,71.676,72.424,64.024,75.588,10.012,64.192,65.244,64.868,73.712,60.936,61.396,73.436,67.18,68.244,66.304
LIB,87.22222222,90.55555556,94.44444444,93.33333333,93.33333333,70.55555556,89.44444444,34.44444444,88.33333333,90,95.55555556,88.33333333,93.33333333,90,90.55555556,81.66666667,87.77777778,91.66666667,97.22222222,91.66666667,91.66666667
LSST,55.10948905,64.03081914,66.38280616,66.50446067,64.27412814,34.02270884,41.52473642,34.18491484,44.12003244,43.59286294,51.01378751,44.44444444,40.99756691,41.24087591,41.76804542,56.73154907,38.07785888,40.67315491,59.5701541,60.0567721,45.57988646
MI,50,54,50,54,51,64,68,66,68,67,71,67,65,67,68,69,67,67,67,67,69
NATO,88.33333333,89.44444444,91.11111111,90,93.33333333,96.11111111,97.22222222,95,98.33333333,95.55555556,99.44444444,96.11111111,96.11111111,93.33333333,93.88888889,80.55555556,96.11111111,88.88888889,98.88888889,92.22222222,98.88888889
PD,97.71297885,98.2275586,97.65580332,97.85591767,97.28416238,92.48141795,96.99828473,46.94110921,98.91366495,98.51343625,99.02801601,98.59919954,98.59919954,98.54202401,98.51343625,98.48484848,98.51343625,98.42767296,99.34248142,98.51343625,99.25671812
PS,15.12078735,27.82582762,33.01521026,33.16433045,33.64151506,6.650760513,16.22427677,5.427974948,14.52430659,13.7488816,4.920966299,15.50849985,11.69102296,14.31553832,14.25589025,15.09096332,13.1225768,11.54190277,33.07485834,23.79958246,30.33104682
RS,80.26315789,90.78947368,90.13157895,91.44736842,90.13157895,78.94736842,81.57894737,86.84210526,89.47368421,84.21052632,94.07894737,91.44736842,84.86842105,85.52631579,87.5,85.52631579,86.84210526,81.57894737,91.44736842,90.78947368,92.76315789
SWJ,20,46.66666667,40,40,66.66666667,53.33333333,73.33333333,66.66666667,66.66666667,80,73.33333333,73.33333333,66.66666667,66.66666667,80,86.66666667,73.33333333,73.33333333,60,73.33333333,73.33333333
